run,method,compression,level,forget_Q_A_Prob,forget_Q_A_ROUGE,extraction_strength,model_utility
ceiling_full,,,,0.8805,0.8201,0.7063,0.5992
floor_retain90,,,,0.1161,0.3791,0.059,0.5911
baseline_NPO,,,,0.2087,0.1863,0.0969,0.43
baseline_SimNPO,,,,0.0748,0.3426,0.0644,0.5832
baseline_IdkDPO,,,,0.0166,0.1452,0.0474,0.5673
sweep_IdkDPO_prune_0.1,IdkDPO,prune,0.1,0.019,0.142,0.0471,0.5448
sweep_IdkDPO_prune_0.3,IdkDPO,prune,0.3,0.037,0.1376,0.049,0.358
sweep_IdkDPO_prune_0.5,IdkDPO,prune,0.5,0.0005,0.0436,0.0326,0.0039
sweep_IdkDPO_prune_0.7,IdkDPO,prune,0.7,0.0,0.0001,0.0325,0.0
sweep_IdkDPO_quant4bit,IdkDPO,quant4bit,,0.0226,0.1217,0.0463,0.4747
sweep_IdkDPO_quant8bit,IdkDPO,quant8bit,,0.0173,0.1449,0.048,0.5633
sweep_IdkDPO_svd_0.25,IdkDPO,svd,0.25,0.0,0.0001,0.0325,0.0
sweep_IdkDPO_svd_0.5,IdkDPO,svd,0.5,0.0,0.0,0.0325,0.0
sweep_IdkDPO_svd_0.75,IdkDPO,svd,0.75,0.0,0.0,0.0325,0.0
sweep_IdkDPO_svd_0.9,IdkDPO,svd,0.9,0.0,0.0002,0.0325,0.0
sweep_IdkDPO_svd_0.95,IdkDPO,svd,0.95,0.0002,0.0189,0.0325,0.0
sweep_IdkDPO_svd_0.99,IdkDPO,svd,0.99,0.0048,0.1441,0.0329,0.3458
sweep_NPO_prune_0.1,NPO,prune,0.1,0.3521,0.2718,0.1118,0.401
sweep_NPO_prune_0.15,NPO,prune,0.15,0.4288,0.3681,0.1381,0.47
sweep_NPO_prune_0.2,NPO,prune,0.2,0.4909,0.4285,0.1466,0.4929
sweep_NPO_prune_0.3,NPO,prune,0.3,0.207,0.3607,0.0722,0.3576
sweep_NPO_prune_0.5,NPO,prune,0.5,0.0004,0.0416,0.0325,0.0028
sweep_NPO_prune_0.7,NPO,prune,0.7,0.0,0.0,0.0325,0.0
sweep_NPO_quant4bit,NPO,quant4bit,,0.3532,0.3245,0.1065,0.4387
sweep_NPO_quant8bit,NPO,quant8bit,,0.2093,0.183,0.0956,0.4309
sweep_NPO_svd_0.25,NPO,svd,0.25,0.0,0.0004,0.0325,0.0
sweep_NPO_svd_0.5,NPO,svd,0.5,0.0,0.0,0.0325,0.0
sweep_NPO_svd_0.75,NPO,svd,0.75,0.0,0.0,0.0325,0.0
sweep_NPO_svd_0.9,NPO,svd,0.9,0.0,0.0,0.0325,0.0
sweep_NPO_svd_0.95,NPO,svd,0.95,0.0002,0.0135,0.0325,0.0
sweep_NPO_svd_0.99,NPO,svd,0.99,0.0363,0.2299,0.0352,0.2319
sweep_SimNPO_prune_0.1,SimNPO,prune,0.1,0.0793,0.34,0.0626,0.5691
sweep_SimNPO_prune_0.3,SimNPO,prune,0.3,0.1029,0.3383,0.0531,0.3946
sweep_SimNPO_prune_0.5,SimNPO,prune,0.5,0.0005,0.0455,0.0325,0.0037
sweep_SimNPO_prune_0.7,SimNPO,prune,0.7,0.0,0.0001,0.0325,0.0
sweep_SimNPO_quant4bit,SimNPO,quant4bit,,0.0848,0.3336,0.0613,0.494
sweep_SimNPO_quant8bit,SimNPO,quant8bit,,0.0775,0.3435,0.0647,0.5766
sweep_SimNPO_svd_0.25,SimNPO,svd,0.25,0.0,0.0001,0.0325,0.0
sweep_SimNPO_svd_0.5,SimNPO,svd,0.5,0.0,0.0,0.0325,0.0
sweep_SimNPO_svd_0.75,SimNPO,svd,0.75,0.0,0.0,0.0325,0.0
sweep_SimNPO_svd_0.9,SimNPO,svd,0.9,0.0,0.0,0.0325,0.0
sweep_SimNPO_svd_0.95,SimNPO,svd,0.95,0.0002,0.0158,0.0325,0.0
sweep_SimNPO_svd_0.99,SimNPO,svd,0.99,0.0183,0.3132,0.0343,0.3466
